,0,1,2
0,59.0,9.0,53.0
1,2.0,19.0,43.0
2,1.0,19.0,3.0
3,46.0,66.0,64.0
4,78.0,45.0,21.0
5,52.0,53.0,66.0
6,81.0,72.0,66.0
7,28.0,51.0,58.0
8,42.0,22.0,46.0
9,25.0,73.0,59.0
10,40.0,53.0,17.0
11,59.0,53.0,40.0
12,82.0,22.0,29.0
13,54.0,47.0,19.0
14,71.0,25.0,9.0
15,16.0,42.0,11.0
16,15.0,42.0,8.0
17,19.0,29.0,10.0
18,2.0,47.0,29.0
19,17.0,2.0,53.0
20,22.0,59.0,56.0
21,13.0,78.0,54.0
22,56.0,66.0,53.0
23,22.0,46.0,56.0
24,46.0,3.0,23.0
25,73.0,9.0,56.0
26,25.0,9.0,56.0
27,60.0,36.0,80.0
28,62.0,51.0,7.0
29,22.0,66.0,47.0
30,59.0,61.0,53.0
31,36.0,78.0,67.0
32,75.0,45.0,13.0
33,56.0,22.0,42.0
34,42.0,51.0,11.0
35,57.0,72.0,81.0
36,60.0,67.0,31.0
37,29.0,53.0,19.0
38,72.0,66.0,59.0
39,21.0,13.0,47.0
40,11.0,10.0,53.0
41,2.0,57.0,3.0
42,15.0,34.0,71.0
43,81.0,22.0,6.0
44,56.0,22.0,9.0
45,72.0,19.0,78.0
46,22.0,23.0,3.0
47,13.0,29.0,54.0
48,50.0,69.0,4.0
49,57.0,6.0,66.0
50,42.0,57.0,6.0
51,34.0,42.0,28.0
52,5.0,2.0,47.0
53,59.0,22.0,66.0
54,66.0,13.0,53.0
55,2.0,43.0,47.0
56,22.0,44.0,33.0
57,66.0,72.0,64.0
58,51.0,7.0,62.0
59,53.0,61.0,11.0
60,36.0,27.0,67.0
61,59.0,53.0,66.0
62,28.0,43.0,1.0
63,8.0,42.0,16.0
64,66.0,57.0,53.0
65,22.0,21.0,67.0
66,57.0,64.0,22.0
67,36.0,47.0,29.0
68,66.0,72.0,61.0
69,4.0,35.0,45.0
70,39.0,21.0,18.0
71,42.0,6.0,15.0
72,66.0,57.0,6.0
73,25.0,9.0,44.0
74,64.0,66.0,57.0
75,32.0,1.0,18.0
76,22.0,8.0,46.0
77,20.0,59.0,61.0
78,13.0,21.0,29.0
79,70.0,4.0,78.0
80,82.0,12.0,36.0
81,43.0,6.0,22.0
82,12.0,80.0,42.0
