,0,1,2
0,32.0,4.0,28.0
1,11.0,27.0,24.0
2,27.0,28.0,34.0
3,39.0,34.0,28.0
4,14.0,36.0,32.0
5,22.0,28.0,6.0
6,32.0,28.0,22.0
7,29.0,24.0,11.0
8,14.0,4.0,32.0
9,6.0,12.0,32.0
10,1.0,24.0,16.0
11,1.0,28.0,7.0
12,32.0,30.0,28.0
13,30.0,28.0,16.0
14,36.0,4.0,30.0
15,14.0,4.0,30.0
16,34.0,24.0,28.0
17,32.0,33.0,28.0
18,6.0,30.0,32.0
19,35.0,38.0,16.0
20,34.0,32.0,16.0
21,7.0,24.0,1.0
22,6.0,5.0,28.0
23,39.0,3.0,1.0
24,7.0,16.0,29.0
25,31.0,3.0,34.0
26,31.0,3.0,5.0
27,2.0,1.0,24.0
28,32.0,34.0,33.0
29,34.0,7.0,28.0
30,32.0,28.0,12.0
31,34.0,39.0,25.0
32,28.0,33.0,6.0
33,32.0,28.0,34.0
34,31.0,29.0,28.0
35,19.0,24.0,16.0
36,14.0,4.0,30.0
37,12.0,32.0,33.0
38,7.0,16.0,11.0
39,23.0,3.0,31.0
