,0,1,2
0,38.0,28.0,36.0
1,22.0,30.0,36.0
2,21.0,8.0,33.0
3,12.0,24.0,26.0
4,19.0,9.0,22.0
5,42.0,9.0,19.0
6,19.0,4.0,35.0
7,36.0,21.0,32.0
8,2.0,9.0,36.0
9,22.0,30.0,36.0
10,22.0,1.0,19.0
11,27.0,41.0,42.0
12,28.0,24.0,3.0
13,2.0,27.0,5.0
14,38.0,21.0,2.0
15,9.0,19.0,20.0
16,36.0,1.0,9.0
17,7.0,21.0,9.0
18,1.0,36.0,30.0
19,35.0,6.0,9.0
20,9.0,15.0,22.0
21,36.0,7.0,2.0
22,9.0,1.0,10.0
23,33.0,2.0,21.0
24,19.0,12.0,26.0
25,38.0,0.0,21.0
26,24.0,3.0,28.0
27,11.0,13.0,41.0
28,12.0,0.0,5.0
29,4.0,19.0,6.0
30,9.0,1.0,37.0
31,9.0,8.0,28.0
32,36.0,9.0,30.0
33,2.0,16.0,21.0
34,8.0,16.0,28.0
35,19.0,4.0,5.0
36,21.0,32.0,9.0
37,30.0,1.0,36.0
38,14.0,0.0,16.0
39,9.0,4.0,22.0
40,34.0,2.0,8.0
41,42.0,5.0,27.0
42,5.0,41.0,19.0
