,0,1,2
0,10.0,61.0,53.0
1,31.0,79.0,80.0
2,67.0,47.0,77.0
3,33.0,41.0,24.0
4,63.0,69.0,79.0
5,9.0,29.0,26.0
6,30.0,71.0,23.0
7,46.0,58.0,51.0
8,69.0,63.0,21.0
9,5.0,26.0,44.0
10,79.0,4.0,63.0
11,69.0,21.0,4.0
12,46.0,22.0,23.0
13,75.0,61.0,78.0
14,80.0,31.0,74.0
15,16.0,4.0,51.0
16,15.0,51.0,4.0
17,79.0,31.0,4.0
18,29.0,47.0,21.0
19,31.0,79.0,17.0
20,53.0,52.0,43.0
21,69.0,63.0,4.0
22,56.0,12.0,62.0
23,30.0,21.0,56.0
24,70.0,3.0,56.0
25,26.0,74.0,15.0
26,12.0,9.0,15.0
27,17.0,34.0,31.0
28,41.0,74.0,46.0
29,22.0,44.0,12.0
30,23.0,21.0,6.0
31,79.0,19.0,48.0
32,48.0,78.0,80.0
33,82.0,42.0,3.0
34,27.0,17.0,50.0
35,57.0,78.0,71.0
36,79.0,17.0,80.0
37,80.0,79.0,31.0
38,78.0,61.0,75.0
39,53.0,78.0,47.0
40,53.0,15.0,10.0
41,74.0,33.0,42.0
42,33.0,41.0,74.0
43,81.0,53.0,19.0
44,42.0,41.0,14.0
45,31.0,79.0,17.0
46,12.0,56.0,42.0
47,67.0,78.0,75.0
48,79.0,31.0,17.0
49,19.0,17.0,10.0
50,63.0,34.0,10.0
51,16.0,33.0,15.0
52,20.0,5.0,53.0
53,19.0,43.0,10.0
54,14.0,30.0,21.0
55,72.0,22.0,75.0
56,22.0,70.0,46.0
57,35.0,81.0,10.0
58,4.0,37.0,79.0
59,26.0,47.0,53.0
60,45.0,78.0,75.0
61,75.0,10.0,13.0
62,70.0,22.0,56.0
63,4.0,69.0,21.0
64,14.0,78.0,70.0
65,76.0,45.0,79.0
66,53.0,1.0,43.0
67,47.0,2.0,75.0
68,70.0,24.0,46.0
69,21.0,63.0,4.0
70,79.0,68.0,17.0
71,30.0,34.0,79.0
72,75.0,78.0,45.0
73,5.0,53.0,44.0
74,41.0,14.0,42.0
75,78.0,72.0,79.0
76,65.0,78.0,71.0
77,78.0,2.0,47.0
78,47.0,75.0,72.0
79,31.0,48.0,17.0
80,37.0,79.0,31.0
81,43.0,75.0,78.0
82,33.0,42.0,3.0
