,idno,author-short,author-gender,title-short,author-long,title-long,year,decade,country,source-edition,narrative-perspective,subgenre-theme,subgenre-current
nh0001,nh0001,VillaverdeC,male,Guajiro,"Villaverde, Cirilo",El guajiro,1842,1840-1850,Cuba,modern,heterodiegetic,novela de costumbres,novela romántica
nh0002,nh0002,PayroR,male,Moreira,"Payró, Roberto",Divertidas aventuras del nieto de Juan Moreira,1910,1901-1910,Argentina,unknown,autodiegetic,novela política,novela realista
nh0003,nh0003,AltamiranoIM,male,Antonia,"Altamirano, Ignacio Manuel",Antonia,1872,1871-1880,Mexico,first,autodiegetic,novela sentimental,novela romántica
nh0004,nh0004,PayroR,male,Inca,"Payró, Roberto",El falso Inca,1905,1901-1910,Argentina,historical,heterodiegetic,novela histórica,unknown
nh0005,nh0005,AltamiranoIM,male,Navidad,"Altamirano, Ignacio Manuel",La Navidad en las montañas,1871,1871-1880,Mexico,historical,autodiegetic,novela de costumbres,novela romántica
nh0006,nh0006,AltamiranoIM,male,Clemencia,"Altamirano, Ignacio Manuel",Clemencia,1869,1861-1870,Mexico,unknown,homodiegetic,novela sentimental,novela romántica
nh0007,nh0007,AltamiranoIM,male,Zarco,"Altamirano, Ignacio Manuel",El Zarco,1901,1901-1910,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0008,nh0008,RivarolaEE,male,AmarVuelo,"Rivarola, Enrique E.",Amar al vuelo,1884,1881-1890,Argentina,historical,heterodiegetic,novela de costumbres,novela realista
nh0009,nh0009,GutierrezE,male,Rastreador,"Gutiérrez, Eduardo",El rastreador,1886,1881-1890,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0010,nh0010,MezaR,male,TioEmpleado,"Meza, Ramón",Mi tío el empleado,1887,1881-1890,Cuba,unknown,homodiegetic,novela de costumbres,novela realista
nh0011,nh0011,CambaceresE,male,Rumbo,"Cambaceres, Eugenio",Sin rumbo,1885,1881-1890,Argentina,unknown,heterodiegetic,novela social,novela naturalista
nh0012,nh0012,CambaceresE,male,Sangre,"Cambaceres, Eugenio",En la sangre,1887,1881-1890,Argentina,unknown,heterodiegetic,novela social,novela naturalista
nh0013,nh0013,MezaR,male,Carmela,"Meza, Ramón",Carmela,1887,1881-1890,Cuba,first,heterodiegetic,novela sentimental,novela naturalista
nh0014,nh0014,AuberNoyaVF,female,Leoncio,"Auber Noya, Virginia Felicia",Leoncio,1844,1840-1850,Cuba,first,heterodiegetic,novela sentimental,unknown
nh0015,nh0015,SaladoAlvarezV,male,Puebla,"Salado Álvarez, Victoriano",Puebla,1903,1901-1910,Mexico,first,heterodiegetic,novela histórica,novela realista
nh0016,nh0016,CalcagnoF,male,Romualdo,"Calcagno, Francisco",Romualdo,1881,1881-1890,Cuba,unknown,heterodiegetic,novela abolicionista,novela romántica
nh0017,nh0017,MarmolJ,male,Amalia,"Mármol, José",Amalia,1855,1851-1860,Argentina,unknown,heterodiegetic,novela histórica,novela romántica
nh0018,nh0018,IglesiaA,male,Adoracion,"Iglesia, Álvaro de la",Adoración,1894,1891-1900,Cuba,historical,autodiegetic,novela sentimental,unknown
nh0019,nh0019,GamboaF,male,Cerillos,"Gamboa, Federico",¡Vendía Cerillos!,1889,1881-1890,Mexico,historical,heterodiegetic,novela social,novela naturalista
nh0020,nh0020,CalcagnoF,male,SY,"Calcagno, Francisco",S. Y.,1895,1891-1900,Cuba,historical,heterodiegetic,novela histórica,unknown
nh0021,nh0021,OcantosCM,male,CruzFalta,"Ocantos, Carlos María",La cruz de la falta,1883,1881-1890,Argentina,first,heterodiegetic,novela sentimental,novela romántica
nh0022,nh0022,FriasH,male,Tomochic,"Frías, Heriberto",Tomóchic,1894,1891-1900,Mexico,first,heterodiegetic,novela histórica,novela naturalista
nh0023,nh0023,RabasaE,male,Bola,"Rabasa, Emilio",La bola,1887,1881-1890,Mexico,historical,autodiegetic,novela política,novela realista
nh0024,nh0024,MansillaE,female,Medico,"Mansilla, Eduarda",El médico de San Luis,1860,1851-1860,Argentina,historical,autodiegetic,novela social,novela romántica
nh0025,nh0025,MansillaE,female,Miranda,"Mansilla, Eduarda",Lucía Miranda,1860,1851-1860,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0026,nh0026,AnconaE,male,Cruz,"Ancona, Eligio",La cruz y la espada,1866,1861-1870,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0027,nh0027,LopezLV,male,GranAldea,"López, Lucio Vicente",La gran aldea,1884,1881-1890,Argentina,historical,autodiegetic,novela de costumbres,novela realista
nh0028,nh0028,MohrLA,male,AlbertoTrejo,"Mohr, Luis Alberto",Alberto Trejo,1884,1881-1890,Argentina,historical,heterodiegetic,novela psicológica,novela naturalista
nh0029,nh0029,SicardiF,male,Extrano,"Sicardi, Francisco",Libro extraño,1894,1891-1900,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0030,nh0030,SicardiF,male,Genaro,"Sicardi, Francisco",Genaro,1895,1891-1900,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0031,nh0031,SicardiF,male,Paloche,"Sicardi, Francisco",Don Manuel de Paloche,1899,1891-1900,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0032,nh0032,SicardiF,male,Mendez,"Sicardi, Francisco",Méndez,1897,1891-1900,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0033,nh0033,SicardiF,male,Justicia,"Sicardi, Francisco",Hacia la justicia,1902,1901-1910,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0034,nh0034,CambaceresE,male,Musica,"Cambaceres, Eugenio",Música sentimental,1884,1881-1890,Argentina,first,homodiegetic,novela sentimental,novela naturalista
nh0035,nh0035,LopezVF,male,NoviaDelHereje,"López, Vicente Fidel",La novia del hereje o La Inquisición de Lima,1855,1851-1860,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0036,nh0036,LopezPortilloJ,male,Parcela,"López Portillo y Rojas, José",La parcela,1898,1891-1900,Mexico,modern,heterodiegetic,novela de costumbres,novela realista
nh0037,nh0037,LopezVF,male,Loca,"López, Vicente Fidel",La loca de la guardia,1896,1891-1900,Argentina,modern,homodiegetic,novela histórica,novela romántica
nh0038,nh0038,ArgerichJA,male,Inocentes,"Argerich, Juan Antonio",Inocentes o culpables,1884,1881-1890,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0039,nh0039,CantiloJL,male,Quimera,"Cantilo, José Luis",Quimera,1899,1891-1900,Argentina,first,heterodiegetic,novela de costumbres,novela naturalista
nh0040,nh0040,GutierrezJM,male,CapitanPatricios,"Gutiérrez, Juan María",El capitán de patricios,1864,1861-1870,Argentina,modern,heterodiegetic,novela histórica,novela romántica
nh0041,nh0041,GorritiJM,female,Yocci,"Gorriti, Juana Manuela",El pozo del Yocci,1876,1871-1880,Argentina,modern,heterodiegetic,novela histórica,novela romántica
nh0042,nh0042,AlvarezJS,male,Austral,"Álvarez, José Sixto",En el mar austral,1897,1891-1900,Argentina,unknown,autodiegetic,novela de costumbres,unknown
nh0043,nh0043,GorritiJM,female,JuezVerdugo,"Gorriti, Juana Manuela",Juez y verdugo,1876,1871-1880,Argentina,modern,heterodiegetic,novela sentimental,novela romántica
nh0044,nh0044,CastellanosJ,male,Conjura,"Castellanos, Jesús",La Conjura,1909,1901-1910,Cuba,first,heterodiegetic,novela social,novela realista
nh0045,nh0045,MachaliR,male,EmiliaCoquetismo,"Machali, Ramón","Emilia, o los efectos del coquetismo",1862,1861-1870,Argentina,historical,heterodiegetic,novela sentimental,novela romántica
nh0046,nh0046,OcantosCM,male,Promision,"Ocantos, Carlos María",Promisión,1897,1891-1900,Argentina,first,heterodiegetic,novela social,novela realista
nh0047,nh0047,OcantosCM,male,Quilito,"Ocantos, Carlos María",Quilito,1891,1891-1900,Argentina,modern,heterodiegetic,novela social,novela realista
nh0048,nh0048,OcantosCM,male,Perfecto,"Ocantos, Carlos María",Don Perfecto,1902,1901-1910,Argentina,modern,heterodiegetic,novela de costumbres,novela realista
nh0049,nh0049,RivaPalacioV,male,Garatuza,"Riva Palacio, Vicente",Martín Garatuza,1868,1861-1870,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0050,nh0050,CuellarJT,male,EnsaladaPollos,"Cuéllar, José Tomás de",Ensalada de pollos,1871,1871-1880,Mexico,first,heterodiegetic,novela de costumbres,novela romántica
nh0051,nh0051,BarraE,female,Stella,"Barra, Emma de la",Stella,1905,1901-1910,Argentina,modern,heterodiegetic,novela de costumbres,unknown
nh0052,nh0052,DelgadoR,male,ParientesRicos,"Delgado, Rafael",Los parientes ricos,1901,1901-1910,Mexico,modern,heterodiegetic,novela social,novela realista
nh0053,nh0053,GutierrezE,male,JuanMoreira,"Gutiérrez, Eduardo",Juan Moreira,1880,1871-1880,Argentina,historical,heterodiegetic,novela gauchesca,novela romántica
nh0054,nh0054,GutierrezE,male,Chacho,"Gutiérrez, Eduardo",El Chacho,1884,1881-1890,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0055,nh0055,GutierrezE,male,Montoneros,"Gutiérrez, Eduardo",Los montoneros,1886,1881-1890,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0056,nh0056,GutierrezE,male,MuerteHeroe,"Gutiérrez, Eduardo",La muerte de un héroe,1886,1881-1890,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0057,nh0057,CambaceresE,male,Potpourri,"Cambaceres, Eugenio",Pot-pourri,1882,1881-1890,Argentina,modern,autodiegetic,novela de costumbres,novela naturalista
nh0058,nh0058,DominguezS,male,Palomas,"Domínguez, Silverio",Palomas y gavilanes,1886,1881-1890,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0059,nh0059,PodestaMT,male,Irresponsable,"Podestá, Manuel T.",Irresponsable,1889,1881-1890,Argentina,modern,autodiegetic,novela social,novela naturalista
nh0060,nh0060,MiroJM,male,Bolsa,"Miró, José María",La Bolsa,1891,1891-1900,Argentina,historical,heterodiegetic,novela social,novela naturalista
nh0061,nh0061,EchagueP,male,Chapanay,"Echagüe, Pedro",La Chapanay,1884,1881-1890,Argentina,modern,heterodiegetic,novela de costumbres,novela romántica
nh0062,nh0062,CantiloJM,male,Quillango,"Cantilo, José María",La familia Quillango,1880,1871-1880,Argentina,modern,heterodiegetic,novela de costumbres,novela realista
nh0063,nh0063,ZayasGuarnerosP,male,Herencias,"Zayas Guarneros, Pablo",Herencias de bienes robados,1899,1891-1900,Mexico,first,heterodiegetic,novela de costumbres,novela romántica
nh0064,nh0064,DiazCovarrubiasJ,male,Gomez,"Díaz Covarrubias, Juan","Gil Gómez, el insurgente o la hija del médico",1858,1851-1860,Mexico,historical,heterodiegetic,novela histórica,novela romántica
nh0065,nh0065,DiazCovarrubiasJ,male,ClaseMedia,"Díaz Covarrubias, Juan",La clase media,1858,1851-1860,Mexico,historical,heterodiegetic,novela de costumbres,novela romántica
nh0066,nh0066,MartinezVillergasJ,male,VidaChaleco,"Martínez Villergas, Juan",La vida en el chaleco,1859,1851-1860,Cuba,first,heterodiegetic,novela de costumbres,unknown
nh0067,nh0067,FriasH,male,UltimoDuelo,"Frías, Heriberto",El último duelo,1896,1891-1900,Mexico,modern,heterodiegetic,novela social,novela realista
nh0068,nh0068,DelgadoR,male,Calandria,"Delgado, Rafael",La Calandria,1890,1881-1890,Mexico,historical,heterodiegetic,novela sentimental,novela realista
nh0069,nh0069,MateosJA,male,CerroCampanas,"Mateos, Juan Antonio",El cerro de las campanas,1868,1861-1870,Mexico,historical,heterodiegetic,novela histórica,novela romántica
nh0070,nh0070,MezaR,male,DonAniceto,"Meza, Ramón",Don Aniceto el tendero,1889,1881-1890,Cuba,modern,heterodiegetic,novela de costumbres,unknown
nh0071,nh0071,MezaR,male,UltimasPaginas,"Meza, Ramón",Últimas páginas,1891,1891-1900,Cuba,modern,heterodiegetic,novela de costumbres,novela romántica
nh0072,nh0072,BarredaR,male,MisteriosCorazon,"Barreda, Rafael",Misterios del corazón,1875,1871-1880,Argentina,historical,heterodiegetic,novela sentimental,novela romántica
nh0073,nh0073,DiazCovarrubiasJ,male,Diablo,"Díaz Covarrubias, Juan",El diablo en México,1858,1851-1860,Mexico,unknown,heterodiegetic,novela de costumbres,novela romántica
nh0074,nh0074,GamboaF,male,UnoTantos,"Gamboa, Federico",Uno de tantos,1889,1881-1890,Mexico,modern,heterodiegetic,novela social,novela naturalista
nh0075,nh0075,DelgadoR,male,HistoriaVulgar,"Delgado, Rafael",Historia vulgar,1904,1901-1910,Mexico,historical,heterodiegetic,novela social,novela realista
nh0076,nh0076,HerediaN,male,Leonela,"Heredia, Nicolás",Leonela,1893,1891-1900,Cuba,first,heterodiegetic,novela sentimental,novela naturalista
