word,rank,frequency
de,1,975130
que,2,657282
la,3,641854
el,4,462151
en,5,407847
se,6,248192
los,7,246386
no,8,241999
su,9,216770
con,10,205634
un,11,182701
por,12,175428
las,13,172727
del,14,145551
una,15,144246
al,16,130219
lo,17,125292
para,18,111153
le,19,99733
sus,20,95490
me,21,94417
es,22,91849
como,23,91480
más,24,85882
pero,25,70806
mi,26,68040
había,27,67963
era,28,56685
yo,29,55889
si,30,55238
sin,31,51967
qué,32,48621
ya,33,47869
dijo,34,39692
todo,35,39486
cuando,36,39333
ha,37,37585
usted,38,35737
porque,39,34901
tan,40,32755
él,41,32640
sobre,42,32567
ni,43,31969
don,44,31113
muy,45,30629
te,46,28650
ella,47,28631
dos,48,28044
pues,49,27913
hasta,50,27259
bien,51,26614
todos,52,26490
casa,53,26237
estaba,54,25230
aquel,55,25097
esta,56,24899
señor,57,24140
después,58,23936
este,59,23883
sí,60,23425
ser,61,22651
hombre,62,22469
ese,63,22400
entre,64,22303
aquella,65,22137
he,66,21988
vez,67,21812
fue,68,21078
así,69,20513
mismo,70,19927
nos,71,19838
nada,72,19407
joven,73,19256
día,74,18921
ojos,75,18726
esa,76,18388
vida,77,18022
eso,78,17968
donde,79,17612
tiempo,80,17611
está,81,17573
entonces,82,17507
otro,83,16979
noche,84,16972
siempre,85,16947
tenía,86,16906
mis,87,16788
quien,88,16451
corazón,89,16343
padre,90,16309
uno,91,16179
tu,92,15885
desde,93,15817
aquí,94,15786
también,95,15361
otra,96,15281
mano,97,15178
poco,98,15128
dios,99,15006
mujer,100,14985
esto,101,14670
hacer,102,14618
todas,103,14529
allí,104,14511
hay,105,14419
habían,106,14358
ver,107,14108
tanto,108,13886
toda,109,13863
amor,110,13808
mucho,111,13756
tal,112,13683
momento,113,13658
les,114,13294
son,115,13148
sino,116,12957
tiene,117,12785
menos,118,12749
mí,119,12727
ahora,120,12710
antes,121,12425
fin,122,12379
voz,123,12282
luego,124,12244
cabeza,125,12239
han,126,11973
madre,127,11962
os,128,11933
parte,129,11679
alma,130,11670
hecho,131,11601
puerta,132,11498
sido,133,11438
cómo,134,11178
señora,135,11151
sólo,136,11148
tú,137,11148
vd,138,11147
ellos,139,11028
hizo,140,10948
doña,141,10825
puede,142,10791
cada,143,10611
aunque,144,10565
días,145,10549
cual,146,10423
manos,147,10357
medio,148,10342
gran,149,10323
solo,150,10256
algo,151,10211
decir,152,10157
mientras,153,10047
tres,154,10014
eran,155,10007
iba,156,10005
podía,157,10004
hombres,158,9960
hija,159,9923
amigo,160,9792
mundo,161,9583
lado,162,9390
veces,163,9339
quién,164,9332
palabras,165,9222
cosa,166,9133
años,167,9130
general,168,9120
exclamó,169,9051
otros,170,9029
mañana,171,9028
frente,172,9017
pobre,173,9011
mal,174,9008
hubiera,175,8874
cuanto,176,8801
nunca,177,8754
algunos,178,8724
verdad,179,8650
mayor,180,8647
tengo,181,8636
hacia,182,8615
aquellos,183,8501
casi,184,8457
pronto,185,8438
luz,186,8426
misma,187,8368
decía,188,8361
nadie,189,8321
hace,190,8309
nombre,191,8302
contestó,192,8298
dar,193,8297
contra,194,8292
hijo,195,8291
