,Number,Score,Rank
0,0,"0,01738",80.0
1,1,"0,07449",28.0
2,2,"0,02854",61.0
3,3,"0,15023",10.0
4,4,"0,01321",92.0
5,5,"0,10531",18.0
6,6,"0,02818",62.0
7,7,"0,0201",72.0
8,8,"0,01069",95.0
9,9,"0,06238",33.0
10,10,"0,03494",50.0
11,11,"0,01922",75.0
12,12,"0,08581",26.0
13,13,"0,01588",82.0
14,14,"0,01197",93.0
15,15,"0,02024",70.0
16,16,"0,02315",67.0
17,17,"0,04552",42.0
18,18,"0,11317",17.0
19,19,"0,04429",43.0
20,20,"0,09416",22.0
21,21,"0,05281",38.0
22,22,"0,05482",37.0
23,23,"0,15322",9.0
24,24,"0,06542",30.0
25,25,"0,01555",83.0
26,26,"0,01545",84.0
27,27,"0,11686",16.0
28,28,"0,02924",57.0
29,29,"0,08727",24.0
30,30,"0,08389",27.0
31,31,"0,03121",53.0
32,32,"0,01746",79.0
33,33,"0,03643",46.0
34,34,"0,02345",65.0
35,35,"0,01516",87.0
36,36,"0,00881",98.0
37,37,"0,00877",99.0
38,38,"0,02716",64.0
39,39,"0,05815",35.0
40,40,"0,03071",54.0
41,41,"0,01379",90.0
42,42,"0,09932",20.0
43,43,"0,03291",51.0
44,44,"0,02878",60.0
45,45,"0,05691",36.0
46,46,"0,11985",14.0
47,47,"0,02952",56.0
48,48,"0,12458",12.0
49,49,"0,10369",19.0
50,50,"0,17718",7.0
51,51,"0,11756",15.0
52,52,"0,02922",58.0
53,53,"0,09789",21.0
54,54,"0,01967",73.0
55,55,"0,01769",78.0
56,56,"0,02768",63.0
57,57,"0,1858",6.0
58,58,"0,01075",94.0
59,59,"0,05838",34.0
60,60,"0,00989",97.0
61,61,"0,15478",8.0
62,62,"0,03534",48.0
63,63,"0,01485",88.0
64,64,"0,06358",32.0
65,65,"0,03585",47.0
66,66,"0,00567",100.0
67,67,"0,03968",45.0
68,68,"0,02017",71.0
69,69,"0,06382",31.0
70,70,"0,03045",55.0
71,71,"0,03531",49.0
72,72,"0,04804",41.0
73,73,"0,01916",76.0
74,74,"0,01375",91.0
75,75,"0,01828",77.0
76,76,"0,12222",13.0
77,77,"0,24727",4.0
78,78,"0,04113",44.0
79,79,"0,05237",39.0
80,80,"0,02317",66.0
81,81,"0,09165",23.0
82,82,"0,01536",85.0
83,83,"0,01422",89.0
84,84,"0,07303",29.0
85,85,"0,0193",74.0
86,86,"0,46917",1.0
87,87,"0,02893",59.0
88,88,"0,05103",40.0
89,89,"0,01055",96.0
90,90,"0,02231",69.0
91,91,"0,08591",25.0
92,92,"0,01519",86.0
93,93,"0,28919",2.0
94,94,"0,25186",3.0
95,95,"0,01593",81.0
96,96,"0,02277",68.0
97,97,"0,13165",11.0
98,98,"0,19047",5.0
99,99,"0,03157",52.0
