idno,author-short,title-short,author-long,title-long,year,decade,country,source-edition,narrative-perspective,subgenre-theme,subgenre-current
nh0004,PayroR,Inca,"Payró, Roberto",El falso Inca,1905,1901-1910,Argentina,historical,heterodiegetic,novela histórica,unknown
nh0006,AltamiranoIM,Clemencia,"Altamirano, Ignacio Manuel",Clemencia,1869,1861-1870,Mexico,unknown,homodiegetic,novela sentimental,novela romántica
nh0007,AltamiranoIM,Zarco,"Altamirano, Ignacio Manuel",El Zarco,1901,1901-1910,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0013,MezaR,Carmela,"Meza, Ramón",Carmela,1887,1881-1890,Cuba,first,heterodiegetic,novela sentimental,novela naturalista
nh0014,AuberNoyaVF,Leoncio,"Auber de Noya, Virginia Felicia",Leoncio,1844,1840-1850,Cuba,first,heterodiegetic,novela sentimental,unknown
nh0015,SaladoAlvarezV,Puebla,"Salado Álvarez, Victoriano",Puebla,1903,1901-1910,Mexico,first,heterodiegetic,novela histórica,novela realista
nh0017,MarmolJ,Amalia,"Mármol, José",Amalia,1855,1851-1860,Argentina,unknown,heterodiegetic,novela histórica,novela romántica
nh0018,IglesiaA,Adoracion,"Iglesia, Álvaro de la",Adoración,1894,1891-1900,Cuba,historical,autodiegetic,novela sentimental,unknown
nh0021,OcantosCM,CruzFalta,"Ocantos, Carlos María",La cruz de la falta,1883,1881-1890,Argentina,first,heterodiegetic,novela sentimental,novela romántica
nh0022,FriasH,Tomochic,"Frías, Heriberto",Tomóchic,1894,1891-1900,Mexico,first,heterodiegetic,novela histórica,novela naturalista
nh0025,MansillaE,Miranda,"Mansilla, Eduarda",Lucía Miranda,1860,1851-1860,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0026,AnconaE,Cruz,"Ancona, Eligio",La cruz y la espada,1866,1861-1870,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0034,CambaceresE,Musica,"Cambaceres, Eugenio",Música sentimental,1884,1881-1890,Argentina,first,homodiegetic,novela sentimental,novela naturalista
